link,product_name,keywords,province,star_review,amount_rating,amount_sold,product_list,original_price,discount_price,per_discount,store,recom_or_official,marketplace,itemId,shopId
https://www.lazada.co.th/products/eggyday-100g-7-i4440155386.html,Eggyday เส้นราเมนโปรตีนไข่ขาว 100g จำนวน 7 ซอง,โปรตีนไข่ขาว,สมุทรปราการ,5.0,13,39 ชิ้น,,553,499,10%,Happyshoppingofficial,,lazada,4440155386,100183137045
https://www.lazada.co.th/products/100-i4744155789.html,เส้นไข่ขาว (หยกไข่ บล๊อคโคลี่)100กรัม,เส้นไข่ขาว,เชียงใหม่,5.0,2,15 ชิ้น,,59,59,,Rainny Keto002,,lazada,4744155789,100429872942
https://www.lazada.co.th/products/nimnim-100-i3938110835.html,เส้นไข่ขาว เส้นหมี่ไข่ขาว เส้นสปาเก็ตตี้ไข่ขาว เส้นคีโตน nimnim นิ่มนิ่ม ล็อตใหม่ เส้นไข่ขาว 100% โปรตีนแน่น,"เส้นไข่ขาว, เส้นหมี่ไข่ขาว",กรุงเทพมหานคร,4.975,40,365 ชิ้น,"เส้นสปาเก็ตตี้ไข่ขาว, เส้นไข่ขาว, เส้นหมี่ไข่ขาว",85,75,12%,HealthyPro,,lazada,3938110835,100206366175
https://www.lazada.co.th/products/eggyday-100g-7-i4440172758.html,Eggyday เส้นหมี่โปรตีนไข่ขาว 100g 7 ซอง,"โปรตีนไข่ขาว, เส้นหมี่โปรตีนไข่ขาว",สมุทรปราการ,5.0,14,41 ชิ้น,,553,499,10%,Happyshoppingofficial,,lazada,4440172758,100183137045
https://www.lazada.co.th/products/eggyday-100-i5212203277.html,Eggyday เส้นไข่ขาวไร้แป้ง เส้นราเมน เส้นหมี่ เส้นโปรตีนไข่ขาว ข้าวไข่ขาว ขนาด100กรัม ไม่มีแป้ง ไม่มีน้ำตาล,"เส้นไข่ขาว, โปรตีนไข่ขาว, ข้าวไข่ขาว",กรุงเทพมหานคร,,,,"เส้นราเมนไข่ขาว, เส้นหมี่ ไข่ขาว, ข้าวไข่ขาว",89,79,11%,Smiledrops,,lazada,5212203277,6294
https://www.lazada.co.th/products/eggyday-eggy01-100-keto-egg-white-noodles-i4968815372.html,Eggyday เส้นโปรตีนไข่ขาว เส้นหมี่ไข่ขาวไร้แป้ง (Eggy01) 100กรัม ไม่มีแป้ง ไม่มีน้ำตาล เส้นคีโต โปรตีนสูง คลีน คีโต เส้นเพื่อสุขภาพ keto Egg White Noodles,"โปรตีนไข่ขาว, เส้นหมี่ไข่ขาว",กรุงเทพมหานคร,5.0,4,33 ชิ้น,,95,79,17%,Webspt,mall,lazada,4968815372,1000193774
https://www.lazada.co.th/products/100-i4744016810.html,เส้นไข่ขาว (เส้นอุด้ง) 100กรัม,เส้นไข่ขาว,เชียงใหม่,5.0,5,31 ชิ้น,,49,49,,Rainny Keto002,,lazada,4744016810,100429872942
https://www.lazada.co.th/products/eggyday-100g-keto-3-i3138500029.html,eggyday เส้นหมี่ไข่ขาว 100g  โปรตีนสูง อร่อย ไม่คาว ไร้แป้ง Keto พร้อมทาน เทียบเท่าไข่ขาว 3 ฟอง เพื่อสุขภาพ,เส้นหมี่ไข่ขาว,กรุงเทพมหานคร,4.903225806451613,31,189 ชิ้น,,79,79,,Eggyday Store,,lazada,3138500029,100195518243
https://www.lazada.co.th/products/-i3112490671.html,เส้นไข่ขาวสปาเกตตี้,เส้นไข่ขาว,ยะลา,4.888888888888889,8,72 ชิ้น,,79,79,,Thank you keto,,lazada,3112490671,100139116
https://www.lazada.co.th/products/100-i5064659212.html,เส้นไข่ขาว 100 กรัม เส้นหมี่ เส้นราเมน,เส้นไข่ขาว,นนทบุรี,,,,"เส้นราเมนไข่ขาว, เส้นหมี่ไข่ขาว",79,79,,Vhome Healthy Shop,,lazada,5064659212,100193424660
https://www.lazada.co.th/products/eggyday-eggy02-100-keto-egg-white-noodles-i4968827376.html,Eggyday เส้นโปรตีนไข่ขาว เส้นราเมนไข่ขาว (Eggy02) ขนาด100กรัม ไม่มีแป้ง ไม่มีน้ำตาล เส้นคีโต โปรตีนสูง คลีน คีโต เส้นเพื่อสุขภาพ keto Egg White Noodles,โปรตีนไข่ขาว,กรุงเทพมหานคร,5.0,5,22 ชิ้น,,95,79,17%,Webspt,mall,lazada,4968827376,1000193774
https://www.lazada.co.th/products/keto-i4326943795.html,KETO รวมเส้นคีโต ต่างๆเส้นไข่ขาว โจ๊ก คีโต วุ้นเส้นคีโต วุ้นเส้นน้ำมะพร้าว  เส้นหมี่คีโต ไข่มุกคีโต เส้นบุก,เส้นไข่ขาว,สงขลา,4.666666666666667,6,100 ชิ้น,"วุ้นเส้นคีโต, โจ๊กคีโต, เส้นสปาเกตตี้NimNim, วส.น้ำมะพร้าว(เหลือง, วส.น้ำมะพร้าว(ฟ้า), วส.น้ำมะพร้าว(ชมพู), วส.น้ำมะพร้าว(เขียว), วส.น้ำมะพร้าว(ม่วง), ไข่มุกน้ำมะพร้าว, ไข่มุกกลิ่นบราวชูก้า, ไข่มุกน.พร้าว+ไซรัป, โจ๊กกะหล่ำรสกุ้ง, โจ๊กกะหล่ำรสไก่",45,43,4%,Mumil Keto Halal,,lazada,4326943795,1000145579
